NEVO-code,productnaam,energie_kcal,koolhydraten_g,eiwitten_g,vetten_g
1390,Gehaktbal runder- m ei gebakken,308,5.2,27.0,19.8
1391,Spek mager bereid,424,0.3,25.7,35.5
1392,Kipfilet bereid,158,0.0,30.9,3.8
1393,Ui gebakken in plantaardige olie,58,5.4,1.3,3.0
1395,Roggebrood volkoren/roggetarwebrood bruin gem,196,36.1,5.8,1.3
1397,Tomaat gestoofd,59,1.9,0.9,5.1
1398,Kool boeren- glas,25,0.9,2.4,0.6
1399,Sla ijsberg- rauw,14,1.4,1.0,0.2
1400,Runderbiefstuk rauw,108,0.0,22.9,1.8
1401,Runderbiefstuk v de haas rauw,116,0.0,23.7,2.3
1402,Runderentrecote rauw,165,0.0,23.0,8.1
1404,Runderbaklappen rauw,103,0.0,21.2,2.0
1405,Gehakt runder- rauw,225,0.2,18.9,16.5
1406,Runderklapstuk rauw,137,0.0,19.8,6.4
1407,Lever runder- rauw,129,1.9,21.0,4.2
1408,Runderpoulet rauw,106,0.0,22.1,2.0
1409,Runderrollade rauw,109,0.2,23.2,1.7
1410,Runderrosbief rauw,122,0.0,22.9,3.4
1411,Runderschenkel rauw,117,0.0,22.6,3.0
1412,Runderriblappen rauw,166,0.0,20.1,9.5
1413,Runder doorregen lappen rauw,147,0.0,20.6,7.2
1414,Rundersukadelappen rauw,135,0.0,21.3,5.5
1415,Rundertartaar rauw,137,0.3,21.1,5.7
1416,Rundertong rauw,188,0.0,17.3,13.2
1417,Varkensbraadworst rauw,226,0.6,16.8,17.2
1418,Varkensfiletlappen rauw,128,0.0,23.3,3.9
1419,Varkensfricandeau rauw,120,0.0,22.9,3.2
1420,Varkenshamlappen rauw,114,0.0,22.2,2.8
1421,Gehakt varkens- rauw,177,0.3,20.1,10.7
1422,Varkenshaas rauw,105,0.0,22.4,1.7
1423,Varkenshamschijf rauw,191,0.0,19.8,12.4
1424,Varkenshaaskarbonade rauw,156,0.0,23.2,7.0
1425,Varkensschouderkarbonade rauw,186,0.0,19.1,12.2
1426,Lever varkens- rauw,129,0.2,21.3,4.8
1427,Varkenskrabbetjes rauw,250,0.0,18.3,19.6
1429,Varkensoester rauw,115,0.0,23.5,2.4
1430,Varkensschouderlappen rauw,133,0.0,20.7,5.5
1431,Vink sla- rauw,266,3.3,15.3,21.2
1432,Speklap rauw,320,0.0,16.5,28.2
1434,Gehakt hoh rauw,233,0.3,19.2,17.2
1435,Hamburger rauw,239,2.2,16.8,18.0
1436,Kalfsentrecote rauw,150,0.0,21.4,7.2
